gush_number,school_gan,education_type,ethnicity,religious or not
6973,3,M,J,2
6976,1,M,J,2
6977,2,M,J,2
6982,1,M,J,2
6985,1,H,J,4
6986,9,M,J,2
6991,1,M,J,2
6995,4,M,J,2
6996,4,M,J,2
6997,9,M,J,2
6998,2,mixed,J,3
6999,2,M,J,2
7000,3,M,J,2
7001,1,M,J,2
7002,1,M,J,2
7003,1,M,J,2
7018,1,M,J,2
7022,2,A,A,1
7023,5,A,A,1
7045,6,M,J,2
7046,2,A,A,1
7047,4,O,O,0
7048,2,mixed,J,3
7050,6,M,J,2
7058,2,H,J,4
7059,3,M,J,2
7065,2,M,J,2
7069,2,M,J,2
7070,6,M,J,2
7076,2,M,J,2
7078,6,M,J,2
7084,3,M,J,2
7089,4,A,A,1
7092,2,M,J,2
7095,4,M,J,2
7097,4,mixed,J,3
7103,2,M,J,2
7110,6,M,J,2
7111,3,M,J,2
7113,1,H,J,4
7116,1,A,A,1
7120,3,M,J,2
7122,4,M,J,2
7123,4,M,J,2
7124,8,H,J,4
7126,3,H,J,4
7127,4,M,J,2
7128,9,M,J,2
7129,6,M,J,2
7130,9,M,J,2
7131,4,M,J,2
7132,12,M,J,2
7133,2,M,J,2
7134,1,M,J,2
7135,2,M,J,2
7136,8,M,J,2
7137,5,M,J,2
7138,5,M,J,2
7139,8,M,J,2
7140,3,M,J,2
7141,2,M,J,2
7142,4,M,J,2
7143,2,H,J,4
7144,1,M,J,2
7145,4,M,J,2
7146,5,M,J,2
7148,1,H,J,4
7150,9,M,J,2
7151,3,M,J,2
7152,2,mixed,J,3
7154,3,M,J,2
7155,12,M,J,2
7156,7,M,J,2
7160,5,H,J,4
7161,6,M,J,2
7163,2,M,J,2
7164,1,M,J,2
7165,6,M,J,2
7166,2,M,J,2
7167,4,M,J,2
7168,1,M,J,2
7169,3,M,J,2
7171,3,M,J,2
7172,2,M,J,2
7173,1,M,J,2
7174,5,M,J,2
7175,1,M,J,2
7176,2,M,J,2
7178,2,M,J,2
7182,4,M,J,2
7183,7,M,J,2
7184,4,M,J,2
7187,1,H,J,4
7190,7,A,A,1
7193,2,M,J,2
7194,10,M,J,2
7195,7,M,J,2
7196,5,H,J,4
7197,1,M,J,2
7204,2,M,J,2
7209,8,M,J,2
7210,1,H,J,4
7211,2,H,J,4
7214,4,M,J,2
7215,2,M,J,2
7216,3,H,J,4
7217,3,H,J,4
7218,2,mixed,J,3
7220,4,M,J,2
7221,2,M,J,2
7222,5,M,J,2
